name,link,price,cashback
"
Смартфон Xiaomi Redmi Note 13 6/128Gb Ice Blue (23124RA7EO) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/e887b9f4-e6c0-11ee-80ea-bfd57f4940da/,"
17 990 ",900
"
Смартфон Xiaomi Redmi Note 13 6/128Gb Mint Green (23124RA7EO) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/4f10a6b2-e6c1-11ee-80ea-bfd57f4940da/,"
17 990 ",900
"
Смартфон Xiaomi Redmi Note 12 8/256Гб Onyx Gray (23021RAA2Y) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/f2bb8d6b-2c65-11ee-8117-b9090afac2f4-aaad3396-b1e7-11ee-8120-dd7cbfe4cc23/,"
17 990 ",900
"
Смартфон Tecno Spark 20 Pro 12/256Gb Moonlite Black (KJ6) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/c4e4125b-e1d4-11ee-80ea-bfd57f4940da/,"
18 590 ",930
"
Смартфон Tecno Spark 20 Pro 12/256Gb Magic Skin Green (KJ6) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/095263a4-f7e6-11ee-80eb-96ac15dec332/,"
18 590 ",930
"
Смартфон Xiaomi Redmi Note 13 8/128Гб Ice Blue (23124RA7EO) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/95d65988-cc9f-11ee-80e8-c445fce7734/,"
18 990 ",950
"
Смартфон Xiaomi Redmi Note 13 8/128 Midnight Black (23124RA7EO) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/3603e149-cca0-11ee-80e8-c445fce7734/,"
18 990 ",950
"
Смартфон Xiaomi Redmi Note 13 8/128Gb Mint Green (23124RA7EO) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/1a1ddd6e-e6c6-11ee-80ea-bfd57f4940da/,"
18 990 ",950
"
Смартфон Realme C67 8/256Гб Black (RMX3890) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/c16458b0-bc58-11ee-8121-ccae40f1d1a6/,"
19 490 ",975
"
Смартфон Realme C67 8/256Гб Green (RMX3890) ",https://steelsmart.shop/shop/telefoniya-i-aksessuary/smartfony/76d24f67-bc5a-11ee-8121-ccae40f1d1a6/,"
19 490 ",975
